from,to,percent,number,absvalue,lat,lng,source,target
黄冈市,孝感市,3.11,12052.152,374.8219272,30.45339975507176,114.87200001362683,12,7
黄冈市,荆州市,1.45,12052.152,174.756204,30.45339975507176,114.87200001362683,12,9
黄冈市,咸宁市,1.33,12052.152,160.2936216,30.45339975507176,114.87200001362683,12,0
黄冈市,宜昌市,1.09,12052.152,131.3684568,30.45339975507176,114.87200001362683,12,16
黄冈市,襄阳市,1.01,12052.152,121.72673520000001,30.45339975507176,114.87200001362683,12,13
黄冈市,荆门市,0.77,12052.152,92.8015704,30.45339975507176,114.87200001362683,12,5
黄冈市,随州市,0.74,12052.152,89.1859248,30.45339975507176,114.87200001362683,12,1
黄冈市,十堰市,0.65,12052.152,78.338988,30.45339975507176,114.87200001362683,12,11
黄冈市,恩施土家族苗族自治州,0.58,12052.152,69.90248159999999,30.45339975507176,114.87200001362683,12,10
黄冈市,天门市,0.5,12052.152,60.26076,30.45339975507176,114.87200001362683,12,14
黄冈市,仙桃市,0.49,12052.152,59.0555448,30.45339975507176,114.87200001362683,12,2
黄冈市,潜江市,0.29,12052.152,34.951240799999994,30.45339975507176,114.87200001362683,12,6
宜昌市,荆州市,17.25,8957.628,1545.1908300000002,30.691700466222986,111.28599985191957,16,9
宜昌市,恩施土家族苗族自治州,10.41,8957.628,932.4890748000001,30.691700466222986,111.28599985191957,16,10
宜昌市,武汉市,9.76,8957.628,874.2644928,30.691700466222986,111.28599985191957,16,15
宜昌市,荆门市,5.11,8957.628,457.73479080000004,30.691700466222986,111.28599985191957,16,5
宜昌市,襄阳市,4.71,8957.628,421.90427880000004,30.691700466222986,111.28599985191957,16,13
宜昌市,孝感市,2.54,8957.628,227.5237512,30.691700466222986,111.28599985191957,16,7
宜昌市,黄冈市,1.68,8957.628,150.48815040000002,30.691700466222986,111.28599985191957,16,12
宜昌市,神农架林区,1.54,8957.628,137.94747120000002,30.691700466222986,111.28599985191957,16,4
宜昌市,天门市,1.51,8957.628,135.2601828,30.691700466222986,111.28599985191957,16,14
宜昌市,仙桃市,1.19,8957.628,106.5957732,30.691700466222986,111.28599985191957,16,2
宜昌市,十堰市,0.97,8957.628,86.88899160000001,30.691700466222986,111.28599985191957,16,11
宜昌市,潜江市,0.9,8957.628,80.61865200000001,30.691700466222986,111.28599985191957,16,6
宜昌市,随州市,0.88,8957.628,78.82712640000001,30.691700466222986,111.28599985191957,16,1
宜昌市,咸宁市,0.7,8957.628,62.703396000000005,30.691700466222986,111.28599985191957,16,0
宜昌市,黄石市,0.68,8957.628,60.911870400000005,30.691700466222986,111.28599985191957,16,3
宜昌市,鄂州市,0.24,8957.628,21.4983072,30.691700466222986,111.28599985191957,16,8
荆门市,武汉市,14.6,5964.191999999999,870.7720319999999,31.03539989309376,112.20000022843752,5,15
荆门市,天门市,12.46,5964.191999999999,743.1383231999998,31.03539989309376,112.20000022843752,5,14
荆门市,荆州市,10.33,5964.191999999999,616.1010335999999,31.03539989309376,112.20000022843752,5,9
荆门市,襄阳市,8.77,5964.191999999999,523.0596383999999,31.03539989309376,112.20000022843752,5,13
荆门市,宜昌市,7.69,5964.191999999999,458.64636479999996,31.03539989309376,112.20000022843752,5,16
荆门市,孝感市,5.83,5964.191999999999,347.7123935999999,31.03539989309376,112.20000022843752,5,7
荆门市,潜江市,3.83,5964.191999999999,228.4285536,31.03539989309376,112.20000022843752,5,6
荆门市,随州市,2.2,5964.191999999999,131.212224,31.03539989309376,112.20000022843752,5,1
荆门市,恩施土家族苗族自治州,2.03,5964.191999999999,121.07309759999997,31.03539989309376,112.20000022843752,5,10
荆门市,十堰市,1.68,5964.191999999999,100.19842559999998,31.03539989309376,112.20000022843752,5,11
荆门市,仙桃市,1.43,5964.191999999999,85.28794559999999,31.03539989309376,112.20000022843752,5,2
荆门市,黄冈市,1.36,5964.191999999999,81.11301119999999,31.03539989309376,112.20000022843752,5,12
